Timestamp,Dissolved Oxygen (mg/L),Temperature (C),Comment,Site,Folder,Unit ID
3/12/18 12:37,7.23,12.5,,,,14A100509
3/12/18 12:37,7.28,12.6,,,,14A100509
3/12/18 12:37,7.31,12.6,,,,14A100509
3/12/18 12:37,7.34,12.5,,,,14A100509
3/12/18 12:37,7.36,12.3,,,,14A100509
3/12/18 12:37,7.39,12.2,,,,14A100509
3/12/18 12:37,7.29,12.1,,,,14A100509
3/12/18 12:37,7.21,12.1,,,,14A100509
3/12/18 12:37,7.1,12.1,,,,14A100509
3/12/18 12:37,7.21,12,,,,14A100509
3/12/18 12:37,7.02,12,,,,14A100509
3/12/18 12:38,6.98,12,,,,14A100509
3/12/18 12:38,6.97,12,,,,14A100509
3/12/18 12:38,6.91,12,,,,14A100509
3/12/18 12:38,7.04,12,,,,14A100509
3/12/18 12:38,6.89,12,,,,14A100509
3/12/18 12:38,6.83,12,,,,14A100509
3/12/18 12:38,6.98,12,,,,14A100509
3/12/18 12:38,6.93,12,,,,14A100509
3/12/18 12:38,7.14,12,,,,14A100509
3/12/18 12:38,7.01,12,,,,14A100509
3/12/18 12:38,6.97,12,,,,14A100509
3/12/18 12:38,6.99,12,,,,14A100509
3/12/18 12:39,6.92,12,,,,14A100509
3/12/18 12:39,6.96,12,,,,14A100509
3/12/18 12:39,6.87,12.1,,,,14A100509
3/12/18 12:39,6.97,12.1,,,,14A100509
3/12/18 12:39,6.82,12.1,,,,14A100509
3/12/18 12:39,6.96,12.1,,,,14A100509
3/12/18 12:39,6.9,12.1,,,,14A100509
3/12/18 12:39,6.91,12.1,,,,14A100509
3/12/18 12:39,6.88,12.1,,,,14A100509
3/12/18 12:39,7,12.1,,,,14A100509
3/12/18 12:39,6.84,12.1,,,,14A100509
3/12/18 12:39,6.89,12.1,,,,14A100509
3/12/18 12:40,7.01,12.1,,,,14A100509
3/12/18 12:40,6.97,12.1,,,,14A100509
3/12/18 12:40,6.84,12.1,,,,14A100509
3/12/18 12:40,6.86,12.1,,,,14A100509
3/12/18 12:40,6.95,12.1,,,,14A100509
3/12/18 12:40,6.91,12.1,,,,14A100509
3/12/18 12:40,6.89,12.1,,,,14A100509
3/12/18 12:40,6.88,12.1,,,,14A100509
3/12/18 12:40,6.82,12.1,,,,14A100509
3/12/18 12:40,6.93,12.1,,,,14A100509
3/12/18 12:40,7.01,12.1,,,,14A100509
3/12/18 12:40,6.87,12.1,,,,14A100509
3/12/18 12:41,6.96,12.1,,,,14A100509
3/12/18 12:41,6.81,12.1,,,,14A100509
3/12/18 12:41,6.82,12.1,,,,14A100509
3/12/18 12:41,6.91,12.1,,,,14A100509
3/12/18 12:41,6.97,12.1,,,,14A100509
3/12/18 12:41,6.75,12.1,,,,14A100509
3/12/18 12:41,6.98,12.1,,,,14A100509
3/12/18 12:41,6.94,12.1,,,,14A100509
3/12/18 12:41,6.85,12.1,,,,14A100509
3/12/18 12:41,6.74,12.1,,,,14A100509
3/12/18 12:41,6.9,12.1,,,,14A100509
3/12/18 12:41,6.95,12.1,,,,14A100509
3/12/18 12:42,6.97,12.1,,,,14A100509
3/12/18 12:42,6.95,12.1,,,,14A100509
3/12/18 12:42,6.92,12.1,,,,14A100509
3/12/18 12:42,6.93,12.1,,,,14A100509
3/12/18 12:42,6.93,12.1,,,,14A100509
3/12/18 12:42,6.74,12.1,,,,14A100509
3/12/18 12:42,6.84,12.1,,,,14A100509
