"Timestamp","Dissolved Oxygen (mg/L)","Temperature (C)","Comment","Site","Folder","Unit ID"
"6/9/2018 13:26:58","7.64","8.9","","","","14A100509"
"6/9/2018 13:27:03","7.5","8.9","","","","14A100509"
"6/9/2018 13:27:08","7.52","8.9","","","","14A100509"
"6/9/2018 13:27:13","7.48","8.9","","","","14A100509"
"6/9/2018 13:27:18","7.43","8.9","","","","14A100509"
"6/9/2018 13:27:23","7.54","8.9","","","","14A100509"
"6/9/2018 13:27:28","7.48","8.9","","","","14A100509"
"6/9/2018 13:27:33","7.49","8.9","","","","14A100509"
"6/9/2018 13:27:38","7.47","8.9","","","","14A100509"
"6/9/2018 13:27:43","7.5","8.9","","","","14A100509"
"6/9/2018 13:27:48","7.48","8.9","","","","14A100509"
"6/9/2018 13:27:53","7.51","8.9","","","","14A100509"
"6/9/2018 13:27:58","7.44","8.9","","","","14A100509"
"6/9/2018 13:28:03","7.47","8.9","","","","14A100509"
"6/9/2018 13:28:08","7.35","8.9","","","","14A100509"
"6/9/2018 13:28:13","7.51","8.9","","","","14A100509"
"6/9/2018 13:28:18","7.53","8.9","","","","14A100509"
"6/9/2018 13:28:23","7.45","8.9","","","","14A100509"
"6/9/2018 13:28:28","7.46","8.9","","","","14A100509"
"6/9/2018 13:28:33","7.52","8.9","","","","14A100509"
"6/9/2018 13:28:38","7.51","8.9","","","","14A100509"
"6/9/2018 13:28:43","7.49","8.9","","","","14A100509"
"6/9/2018 13:28:48","7.44","8.9","","","","14A100509"
"6/9/2018 13:28:53","7.41","8.9","","","","14A100509"
"6/9/2018 13:28:58","7.42","8.9","","","","14A100509"
"6/9/2018 13:29:03","7.47","8.9","","","","14A100509"
"6/9/2018 13:29:08","7.46","8.9","","","","14A100509"
"6/9/2018 13:29:14","7.38","8.9","","","","14A100509"
"6/9/2018 13:29:19","7.48","8.9","","","","14A100509"
"6/9/2018 13:29:24","7.39","8.9","","","","14A100509"
"6/9/2018 13:29:29","7.44","8.9","","","","14A100509"
"6/9/2018 13:29:34","7.47","8.9","","","","14A100509"
"6/9/2018 13:29:39","7.44","8.9","","","","14A100509"
"6/9/2018 13:29:44","7.45","8.9","","","","14A100509"
"6/9/2018 13:29:49","7.38","8.9","","","","14A100509"
"6/9/2018 13:29:54","7.42","8.9","","","","14A100509"
"6/9/2018 13:29:59","7.46","8.9","","","","14A100509"
"6/9/2018 13:30:04","7.43","8.9","","","","14A100509"
"6/9/2018 13:30:09","7.41","8.9","","","","14A100509"
"6/9/2018 13:30:14","7.49","8.9","","","","14A100509"
"6/9/2018 13:30:19","7.47","8.9","","","","14A100509"
"6/9/2018 13:30:24","7.51","8.9","","","","14A100509"
"6/9/2018 13:30:29","7.41","8.9","","","","14A100509"
"6/9/2018 13:30:34","7.44","8.9","","","","14A100509"
"6/9/2018 13:30:39","7.45","8.9","","","","14A100509"
"6/9/2018 13:30:44","7.46","8.9","","","","14A100509"
"6/9/2018 13:30:49","7.48","8.9","","","","14A100509"
"6/9/2018 13:30:54","7.44","8.9","","","","14A100509"
"6/9/2018 13:30:59","7.49","8.9","","","","14A100509"
"6/9/2018 13:31:04","7.44","8.9","","","","14A100509"
"6/9/2018 13:31:09","7.42","8.9","","","","14A100509"
"6/9/2018 13:31:14","7.48","8.9","","","","14A100509"
"6/9/2018 13:31:19","7.43","8.9","","","","14A100509"
"6/9/2018 13:31:24","7.35","8.9","","","","14A100509"
"6/9/2018 13:31:29","7.39","8.9","","","","14A100509"
"6/9/2018 13:31:34","7.43","8.9","","","","14A100509"
"6/9/2018 13:31:40","7.41","8.9","","","","14A100509"
"6/9/2018 13:31:45","7.48","8.9","","","","14A100509"
"6/9/2018 13:31:50","7.41","8.9","","","","14A100509"
"6/9/2018 13:31:55","7.46","8.9","","","","14A100509"
"6/9/2018 13:32:00","7.42","8.9","","","","14A100509"
"6/9/2018 13:32:05","7.47","8.9","","","","14A100509"
"6/9/2018 13:32:10","7.38","8.9","","","","14A100509"
"6/9/2018 13:32:15","7.45","8.9","","","","14A100509"
"6/9/2018 13:32:20","7.38","8.9","","","","14A100509"
"6/9/2018 13:32:25","7.43","8.9","","","","14A100509"
"6/9/2018 13:32:30","7.41","8.9","","","","14A100509"
"6/9/2018 13:32:35","7.5","8.9","","","","14A100509"
"6/9/2018 13:32:40","7.37","8.9","","","","14A100509"
"6/9/2018 13:32:45","7.4","8.9","","","","14A100509"
"6/9/2018 13:32:50","7.35","8.9","","","","14A100509"
"6/9/2018 13:32:55","7.44","8.9","","","","14A100509"
"6/9/2018 13:33:00","7.4","8.9","","","","14A100509"
"6/9/2018 13:33:05","7.47","8.9","","","","14A100509"
"6/9/2018 13:33:10","7.41","8.9","","","","14A100509"
"6/9/2018 13:33:15","7.42","8.9","","","","14A100509"
"6/9/2018 13:33:20","7.44","8.9","","","","14A100509"
"6/9/2018 13:33:25","7.42","8.9","","","","14A100509"
"6/9/2018 13:33:30","7.41","8.9","","","","14A100509"
"6/9/2018 13:33:35","7.45","8.9","","","","14A100509"
"6/9/2018 13:33:40","7.48","8.9","","","","14A100509"
"6/9/2018 13:33:46","7.44","8.9","","","","14A100509"
"6/9/2018 13:33:51","7.44","8.9","","","","14A100509"
"6/9/2018 13:33:56","7.44","8.9","","","","14A100509"
"6/9/2018 13:34:01","7.42","8.9","","","","14A100509"
"6/9/2018 13:34:06","7.36","8.9","","","","14A100509"
"6/9/2018 13:34:11","7.41","8.9","","","","14A100509"
"6/9/2018 13:34:16","7.45","8.9","","","","14A100509"
"6/9/2018 13:34:21","7.39","8.9","","","","14A100509"
"6/9/2018 13:34:26","7.45","8.9","","","","14A100509"
"6/9/2018 13:34:31","7.4","8.9","","","","14A100509"
"6/9/2018 13:34:36","7.44","8.9","","","","14A100509"
"6/9/2018 13:34:41","7.45","8.9","","","","14A100509"
"6/9/2018 13:34:46","7.46","8.9","","","","14A100509"
"6/9/2018 13:34:51","7.44","8.9","","","","14A100509"
"6/9/2018 13:34:56","7.39","8.9","","","","14A100509"
"6/9/2018 13:35:01","7.39","8.9","","","","14A100509"
"6/9/2018 13:35:06","7.36","8.9","","","","14A100509"
"6/9/2018 13:35:11","7.42","8.9","","","","14A100509"
"6/9/2018 13:35:16","7.41","8.9","","","","14A100509"
