"Timestamp","Dissolved Oxygen (mg/L)","Temperature (C)","Comment","Site","Folder","Unit ID"
"8/3/2018 08:40:50","7.38","13.3","","","","14A100509"
"8/3/2018 08:40:55","7.52","13.3","","","","14A100509"
"8/3/2018 08:41:00","7.48","13.3","","","","14A100509"
"8/3/2018 08:41:05","7.38","13.3","","","","14A100509"
"8/3/2018 08:41:10","7.37","13.3","","","","14A100509"
"8/3/2018 08:41:15","7.44","13.3","","","","14A100509"
"8/3/2018 08:41:20","7.42","13.3","","","","14A100509"
"8/3/2018 08:41:25","7.49","13.3","","","","14A100509"
"8/3/2018 08:41:31","7.36","13.3","","","","14A100509"
"8/3/2018 08:41:36","7.43","13.3","","","","14A100509"
"8/3/2018 08:41:41","7.35","13.3","","","","14A100509"
"8/3/2018 08:41:46","7.42","13.3","","","","14A100509"
"8/3/2018 08:41:51","7.38","13.3","","","","14A100509"
"8/3/2018 08:41:56","7.39","13.3","","","","14A100509"
"8/3/2018 08:42:01","7.41","13.3","","","","14A100509"
"8/3/2018 08:42:06","7.4","13.3","","","","14A100509"
"8/3/2018 08:42:11","7.45","13.3","","","","14A100509"
"8/3/2018 08:42:16","7.44","13.3","","","","14A100509"
"8/3/2018 08:42:21","7.38","13.3","","","","14A100509"
"8/3/2018 08:42:26","7.48","13.3","","","","14A100509"
"8/3/2018 08:42:31","7.44","13.3","","","","14A100509"
"8/3/2018 08:42:36","7.45","13.3","","","","14A100509"
"8/3/2018 08:42:41","7.4","13.3","","","","14A100509"
"8/3/2018 08:42:46","7.46","13.3","","","","14A100509"
"8/3/2018 08:42:51","7.47","13.3","","","","14A100509"
"8/3/2018 08:42:56","7.33","13.3","","","","14A100509"
"8/3/2018 08:43:01","7.45","13.3","","","","14A100509"
"8/3/2018 08:43:06","7.4","13.3","","","","14A100509"
"8/3/2018 08:43:11","7.46","13.3","","","","14A100509"
"8/3/2018 08:43:16","7.34","13.3","","","","14A100509"
"8/3/2018 08:43:21","7.45","13.3","","","","14A100509"
"8/3/2018 08:43:26","7.42","13.3","","","","14A100509"
"8/3/2018 08:43:31","7.35","13.3","","","","14A100509"
"8/3/2018 08:43:36","7.4","13.3","","","","14A100509"
"8/3/2018 08:43:41","7.46","13.3","","","","14A100509"
"8/3/2018 08:43:46","7.41","13.3","","","","14A100509"
"8/3/2018 08:43:51","7.44","13.3","","","","14A100509"
"8/3/2018 08:43:56","7.43","13.3","","","","14A100509"
"8/3/2018 08:44:01","7.41","13.3","","","","14A100509"
"8/3/2018 08:44:06","7.4","13.3","","","","14A100509"
"8/3/2018 08:44:11","7.45","13.3","","","","14A100509"
"8/3/2018 08:44:16","7.35","13.3","","","","14A100509"
"8/3/2018 08:44:21","7.42","13.3","","","","14A100509"
"8/3/2018 08:44:26","7.34","13.3","","","","14A100509"
"8/3/2018 08:44:32","7.43","13.3","","","","14A100509"
"8/3/2018 08:44:37","7.44","13.3","","","","14A100509"
"8/3/2018 08:44:42","7.4","13.3","","","","14A100509"
"8/3/2018 08:44:47","7.41","13.3","","","","14A100509"
"8/3/2018 08:44:52","7.42","13.3","","","","14A100509"
"8/3/2018 08:44:57","7.43","13.3","","","","14A100509"
"8/3/2018 08:45:02","7.44","13.3","","","","14A100509"
"8/3/2018 08:45:07","7.41","13.3","","","","14A100509"
"8/3/2018 08:45:12","7.37","13.3","","","","14A100509"
"8/3/2018 08:45:17","7.36","13.3","","","","14A100509"
"8/3/2018 08:45:22","7.51","13.3","","","","14A100509"
"8/3/2018 08:45:27","7.42","13.3","","","","14A100509"
