"Timestamp","Dissolved Oxygen (mg/L)","Temperature (C)","Comment","Site","Folder","Unit ID"
"8/11/2018 11:55:40","6.94","17.6","","","","14A100509"
"8/11/2018 11:55:45","6.94","17.6","","","","14A100509"
"8/11/2018 11:55:50","6.97","17.6","","","","14A100509"
"8/11/2018 11:55:55","6.99","17.6","","","","14A100509"
"8/11/2018 11:56:00","6.97","17.6","","","","14A100509"
"8/11/2018 11:56:05","6.96","17.6","","","","14A100509"
"8/11/2018 11:56:10","7.04","17.6","","","","14A100509"
"8/11/2018 11:56:15","6.97","17.6","","","","14A100509"
"8/11/2018 11:56:20","6.97","17.6","","","","14A100509"
"8/11/2018 11:56:25","7.01","17.6","","","","14A100509"
"8/11/2018 11:56:30","6.97","17.6","","","","14A100509"
"8/11/2018 11:56:35","7","17.6","","","","14A100509"
"8/11/2018 11:56:40","7.01","17.6","","","","14A100509"
"8/11/2018 11:56:45","6.92","17.6","","","","14A100509"
"8/11/2018 11:56:50","6.96","17.6","","","","14A100509"
"8/11/2018 11:56:55","6.92","17.6","","","","14A100509"
"8/11/2018 11:57:00","6.89","17.6","","","","14A100509"
"8/11/2018 11:57:05","7.03","17.6","","","","14A100509"
"8/11/2018 11:57:10","6.89","17.6","","","","14A100509"
"8/11/2018 11:57:15","7","17.6","","","","14A100509"
"8/11/2018 11:57:20","6.94","17.6","","","","14A100509"
"8/11/2018 11:57:25","6.88","17.6","","","","14A100509"
"8/11/2018 11:57:30","6.99","17.6","","","","14A100509"
"8/11/2018 11:57:35","6.93","17.6","","","","14A100509"
"8/11/2018 11:57:40","6.85","17.6","","","","14A100509"
"8/11/2018 11:57:45","6.85","17.6","","","","14A100509"
"8/11/2018 11:57:51","6.93","17.6","","","","14A100509"
"8/11/2018 11:57:56","6.84","17.6","","","","14A100509"
"8/11/2018 11:58:01","6.96","17.6","","","","14A100509"
"8/11/2018 11:58:06","6.92","17.6","","","","14A100509"
"8/11/2018 11:58:11","6.9","17.6","","","","14A100509"
"8/11/2018 11:58:16","7","17.6","","","","14A100509"
"8/11/2018 11:58:21","6.89","17.6","","","","14A100509"
"8/11/2018 11:58:26","6.95","17.6","","","","14A100509"
"8/11/2018 11:58:31","6.97","17.6","","","","14A100509"
"8/11/2018 11:58:36","6.96","17.6","","","","14A100509"
"8/11/2018 11:58:41","7.01","17.6","","","","14A100509"
"8/11/2018 11:58:46","6.92","17.6","","","","14A100509"
"8/11/2018 11:58:51","6.97","17.6","","","","14A100509"
"8/11/2018 11:58:56","6.88","17.6","","","","14A100509"
"8/11/2018 11:59:01","6.91","17.6","","","","14A100509"
"8/11/2018 11:59:06","6.93","17.6","","","","14A100509"
"8/11/2018 11:59:11","7.02","17.6","","","","14A100509"
"8/11/2018 11:59:16","6.89","17.6","","","","14A100509"
"8/11/2018 11:59:21","6.89","17.6","","","","14A100509"
"8/11/2018 11:59:26","6.87","17.6","","","","14A100509"
"8/11/2018 11:59:31","6.93","17.6","","","","14A100509"
"8/11/2018 11:59:36","6.97","17.6","","","","14A100509"
"8/11/2018 11:59:41","6.94","17.6","","","","14A100509"
"8/11/2018 11:59:46","6.88","17.6","","","","14A100509"
"8/11/2018 11:59:51","6.93","17.6","","","","14A100509"
"8/11/2018 11:59:56","6.81","17.6","","","","14A100509"
"8/11/2018 12:00:01","6.97","17.6","","","","14A100509"
"8/11/2018 12:00:06","6.89","17.6","","","","14A100509"
"8/11/2018 12:00:11","6.96","17.6","","","","14A100509"
"8/11/2018 12:00:16","7","17.6","","","","14A100509"
"8/11/2018 12:00:21","6.95","17.6","","","","14A100509"
"8/11/2018 12:00:26","6.95","17.6","","","","14A100509"
"8/11/2018 12:00:31","7.01","17.6","","","","14A100509"
"8/11/2018 12:00:36","6.93","17.6","","","","14A100509"
"8/11/2018 12:00:41","6.82","17.6","","","","14A100509"
"8/11/2018 12:00:47","6.83","17.6","","","","14A100509"
"8/11/2018 12:00:52","6.9","17.6","","","","14A100509"
"8/11/2018 12:00:57","6.9","17.6","","","","14A100509"
