"Timestamp","Dissolved Oxygen (mg/L)","Temperature (C)","Comment","Site","Folder","Unit ID"
"8/10/2018 07:09:50","6.75","17.7","","","","14A100509"
"8/10/2018 07:09:55","6.79","17.7","","","","14A100509"
"8/10/2018 07:10:00","6.78","17.7","","","","14A100509"
"8/10/2018 07:10:05","6.75","17.7","","","","14A100509"
"8/10/2018 07:10:10","6.76","17.7","","","","14A100509"
"8/10/2018 07:10:15","6.72","17.7","","","","14A100509"
"8/10/2018 07:10:20","6.75","17.7","","","","14A100509"
"8/10/2018 07:10:25","6.72","17.7","","","","14A100509"
"8/10/2018 07:10:30","6.78","17.7","","","","14A100509"
"8/10/2018 07:10:35","6.73","17.7","","","","14A100509"
"8/10/2018 07:10:40","6.72","17.7","","","","14A100509"
"8/10/2018 07:10:45","6.74","17.7","","","","14A100509"
"8/10/2018 07:10:50","6.7","17.7","","","","14A100509"
"8/10/2018 07:10:55","6.71","17.7","","","","14A100509"
"8/10/2018 07:11:00","6.71","17.7","","","","14A100509"
"8/10/2018 07:11:05","6.66","17.7","","","","14A100509"
"8/10/2018 07:11:10","6.7","17.7","","","","14A100509"
"8/10/2018 07:11:15","6.7","17.7","","","","14A100509"
"8/10/2018 07:11:20","6.71","17.7","","","","14A100509"
"8/10/2018 07:11:25","6.62","17.7","","","","14A100509"
"8/10/2018 07:11:30","6.74","17.7","","","","14A100509"
"8/10/2018 07:11:35","6.72","17.7","","","","14A100509"
"8/10/2018 07:11:40","6.79","17.7","","","","14A100509"
"8/10/2018 07:11:45","6.66","17.7","","","","14A100509"
"8/10/2018 07:11:50","6.73","17.7","","","","14A100509"
"8/10/2018 07:11:55","6.66","17.7","","","","14A100509"
"8/10/2018 07:12:00","6.71","17.7","","","","14A100509"
"8/10/2018 07:12:05","6.65","17.7","","","","14A100509"
"8/10/2018 07:12:10","6.71","17.7","","","","14A100509"
"8/10/2018 07:12:15","6.67","17.7","","","","14A100509"
"8/10/2018 07:12:20","6.67","17.7","","","","14A100509"
"8/10/2018 07:12:26","6.69","17.7","","","","14A100509"
"8/10/2018 07:12:31","6.69","17.7","","","","14A100509"
"8/10/2018 07:12:36","6.72","17.7","","","","14A100509"
"8/10/2018 07:12:41","6.67","17.7","","","","14A100509"
"8/10/2018 07:12:46","6.63","17.7","","","","14A100509"
"8/10/2018 07:12:51","6.75","17.7","","","","14A100509"
"8/10/2018 07:12:56","6.76","17.7","","","","14A100509"
"8/10/2018 07:13:01","6.63","17.7","","","","14A100509"
"8/10/2018 07:13:06","6.66","17.7","","","","14A100509"
"8/10/2018 07:13:11","6.64","17.7","","","","14A100509"
"8/10/2018 07:13:16","6.7","17.7","","","","14A100509"
"8/10/2018 07:13:21","6.69","17.7","","","","14A100509"
"8/10/2018 07:13:26","6.62","17.7","","","","14A100509"
"8/10/2018 07:13:31","6.65","17.7","","","","14A100509"
"8/10/2018 07:13:36","6.65","17.7","","","","14A100509"
"8/10/2018 07:13:41","6.54","17.7","","","","14A100509"
"8/10/2018 07:13:46","6.64","17.7","","","","14A100509"
"8/10/2018 07:13:51","6.68","17.7","","","","14A100509"
"8/10/2018 07:13:56","6.63","17.7","","","","14A100509"
"8/10/2018 07:14:01","6.67","17.7","","","","14A100509"
"8/10/2018 07:14:06","6.63","17.7","","","","14A100509"
"8/10/2018 07:14:11","6.65","17.7","","","","14A100509"
"8/10/2018 07:14:16","6.69","17.7","","","","14A100509"
"8/10/2018 07:14:21","6.72","17.7","","","","14A100509"
"8/10/2018 07:14:26","6.64","17.7","","","","14A100509"
"8/10/2018 07:14:31","6.61","17.7","","","","14A100509"
"8/10/2018 07:14:36","6.7","17.7","","","","14A100509"
"8/10/2018 07:14:41","6.73","17.7","","","","14A100509"
"8/10/2018 07:14:46","6.6","17.7","","","","14A100509"
"8/10/2018 07:14:51","6.61","17.7","","","","14A100509"
"8/10/2018 07:14:56","6.57","17.8","","","","14A100509"
"8/10/2018 07:15:01","6.63","17.8","","","","14A100509"
"8/10/2018 07:15:07","6.49","17.8","","","","14A100509"
"8/10/2018 07:15:12","6.65","17.8","","","","14A100509"
"8/10/2018 07:15:17","6.62","17.8","","","","14A100509"
"8/10/2018 07:15:22","6.63","17.8","","","","14A100509"
"8/10/2018 07:15:27","6.61","17.8","","","","14A100509"
"8/10/2018 07:15:32","6.56","17.8","","","","14A100509"
"8/10/2018 07:15:37","6.54","17.8","","","","14A100509"
"8/10/2018 07:15:42","6.58","17.8","","","","14A100509"
"8/10/2018 07:15:47","6.65","17.8","","","","14A100509"
"8/10/2018 07:15:52","6.61","17.8","","","","14A100509"
"8/10/2018 07:15:57","6.66","17.8","","","","14A100509"
"8/10/2018 07:16:02","6.59","17.8","","","","14A100509"
"8/10/2018 07:16:07","6.61","17.8","","","","14A100509"
"8/10/2018 07:16:12","6.63","17.8","","","","14A100509"
"8/10/2018 07:16:17","6.61","17.8","","","","14A100509"
"8/10/2018 07:16:22","6.61","17.8","","","","14A100509"
