"Timestamp","Dissolved Oxygen (mg/L)","Temperature (C)","Comment","Site","Folder","Unit ID"
"8/20/2018 08:07:28","7.32","11.6","","","","14A100509"
"8/20/2018 08:07:33","7.31","11.6","","","","14A100509"
"8/20/2018 08:07:38","7.29","11.6","","","","14A100509"
"8/20/2018 08:07:43","7.32","11.6","","","","14A100509"
"8/20/2018 08:07:48","7.3","11.6","","","","14A100509"
"8/20/2018 08:07:53","7.31","11.6","","","","14A100509"
"8/20/2018 08:07:58","7.28","11.6","","","","14A100509"
"8/20/2018 08:08:03","7.35","11.6","","","","14A100509"
"8/20/2018 08:08:08","7.25","11.6","","","","14A100509"
"8/20/2018 08:08:13","7.3","11.6","","","","14A100509"
"8/20/2018 08:08:18","7.25","11.6","","","","14A100509"
"8/20/2018 08:08:23","7.23","11.6","","","","14A100509"
"8/20/2018 08:08:28","7.25","11.6","","","","14A100509"
"8/20/2018 08:08:33","7.26","11.6","","","","14A100509"
"8/20/2018 08:08:38","7.27","11.6","","","","14A100509"
"8/20/2018 08:08:43","7.28","11.6","","","","14A100509"
"8/20/2018 08:08:48","7.26","11.6","","","","14A100509"
"8/20/2018 08:08:53","7.28","11.6","","","","14A100509"
"8/20/2018 08:08:58","7.22","11.6","","","","14A100509"
"8/20/2018 08:09:03","7.18","11.6","","","","14A100509"
"8/20/2018 08:09:08","7.26","11.6","","","","14A100509"
"8/20/2018 08:09:14","7.27","11.6","","","","14A100509"
"8/20/2018 08:09:19","7.31","11.6","","","","14A100509"
"8/20/2018 08:09:24","7.24","11.6","","","","14A100509"
"8/20/2018 08:09:29","7.27","11.6","","","","14A100509"
"8/20/2018 08:09:34","7.25","11.6","","","","14A100509"
"8/20/2018 08:09:39","7.23","11.6","","","","14A100509"
"8/20/2018 08:09:44","7.22","11.6","","","","14A100509"
"8/20/2018 08:09:49","7.25","11.6","","","","14A100509"
"8/20/2018 08:09:54","7.21","11.6","","","","14A100509"
"8/20/2018 08:09:59","7.24","11.6","","","","14A100509"
"8/20/2018 08:10:04","7.2","11.6","","","","14A100509"
"8/20/2018 08:10:09","7.23","11.6","","","","14A100509"
"8/20/2018 08:10:14","7.3","11.6","","","","14A100509"
"8/20/2018 08:10:19","7.26","11.6","","","","14A100509"
"8/20/2018 08:10:24","7.32","11.6","","","","14A100509"
"8/20/2018 08:10:29","7.26","11.6","","","","14A100509"
"8/20/2018 08:10:34","7.23","11.6","","","","14A100509"
"8/20/2018 08:10:39","7.3","11.6","","","","14A100509"
"8/20/2018 08:10:44","7.26","11.6","","","","14A100509"
"8/20/2018 08:10:49","7.32","11.6","","","","14A100509"
"8/20/2018 08:10:54","7.29","11.6","","","","14A100509"
"8/20/2018 08:10:59","7.17","11.6","","","","14A100509"
"8/20/2018 08:11:04","7.18","11.6","","","","14A100509"
"8/20/2018 08:11:09","7.23","11.6","","","","14A100509"
"8/20/2018 08:11:14","7.29","11.6","","","","14A100509"
"8/20/2018 08:11:19","7.25","11.6","","","","14A100509"
"8/20/2018 08:11:24","7.23","11.6","","","","14A100509"
"8/20/2018 08:11:29","7.24","11.6","","","","14A100509"
"8/20/2018 08:11:34","7.27","11.6","","","","14A100509"
"8/20/2018 08:11:39","7.28","11.6","","","","14A100509"
"8/20/2018 08:11:44","7.19","11.6","","","","14A100509"
"8/20/2018 08:11:49","7.24","11.6","","","","14A100509"
"8/20/2018 08:11:54","7.16","11.6","","","","14A100509"
"8/20/2018 08:11:59","7.31","11.6","","","","14A100509"
"8/20/2018 08:12:04","7.23","11.6","","","","14A100509"
"8/20/2018 08:12:09","7.24","11.6","","","","14A100509"
"8/20/2018 08:12:14","7.28","11.6","","","","14A100509"
"8/20/2018 08:12:19","7.22","11.6","","","","14A100509"
"8/20/2018 08:12:24","7.25","11.6","","","","14A100509"
"8/20/2018 08:12:30","7.33","11.6","","","","14A100509"
"8/20/2018 08:12:35","7.22","11.6","","","","14A100509"
"8/20/2018 08:12:40","7.23","11.6","","","","14A100509"
"8/20/2018 08:12:45","7.24","11.6","","","","14A100509"
"8/20/2018 08:12:50","7.2","11.6","","","","14A100509"
"8/20/2018 08:12:55","7.26","11.6","","","","14A100509"
"8/20/2018 08:13:00","7.19","11.6","","","","14A100509"
"8/20/2018 08:13:05","7.15","11.6","","","","14A100509"
"8/20/2018 08:13:10","7.28","11.6","","","","14A100509"
"8/20/2018 08:13:15","7.16","11.6","","","","14A100509"
"8/20/2018 08:13:20","7.26","11.6","","","","14A100509"
"8/20/2018 08:13:25","7.22","11.6","","","","14A100509"
"8/20/2018 08:13:30","7.31","11.6","","","","14A100509"
"8/20/2018 08:13:35","7.19","11.6","","","","14A100509"
"8/20/2018 08:13:40","7.28","11.6","","","","14A100509"
"8/20/2018 08:13:45","7.25","11.6","","","","14A100509"
"8/20/2018 08:13:50","7.25","11.6","","","","14A100509"
"8/20/2018 08:13:55","7.27","11.6","","","","14A100509"
"8/20/2018 08:14:00","7.24","11.6","","","","14A100509"
"8/20/2018 08:14:05","7.21","11.6","","","","14A100509"
"8/20/2018 08:14:10","7.17","11.6","","","","14A100509"
"8/20/2018 08:14:15","7.24","11.6","","","","14A100509"
"8/20/2018 08:14:20","7.19","11.6","","","","14A100509"
"8/20/2018 08:14:25","7.21","11.6","","","","14A100509"
"8/20/2018 08:14:30","7.21","11.6","","","","14A100509"
"8/20/2018 08:14:35","7.26","11.6","","","","14A100509"
"8/20/2018 08:14:40","7.33","11.6","","","","14A100509"
"8/20/2018 08:14:45","7.24","11.6","","","","14A100509"
"8/20/2018 08:14:50","7.22","11.6","","","","14A100509"
"8/20/2018 08:14:55","7.19","11.6","","","","14A100509"
"8/20/2018 08:15:00","7.23","11.6","","","","14A100509"
"8/20/2018 08:15:05","7.18","11.6","","","","14A100509"
"8/20/2018 08:15:10","7.24","11.6","","","","14A100509"
"8/20/2018 08:15:15","7.2","11.6","","","","14A100509"
"8/20/2018 08:15:20","7.2","11.6","","","","14A100509"
"8/20/2018 08:15:25","7.15","11.6","","","","14A100509"
"8/20/2018 08:15:30","7.22","11.6","","","","14A100509"
"8/20/2018 08:15:36","7.18","11.6","","","","14A100509"
"8/20/2018 08:15:41","7.21","11.6","","","","14A100509"
"8/20/2018 08:15:46","7.15","11.6","","","","14A100509"
"8/20/2018 08:15:51","7.22","11.6","","","","14A100509"
"8/20/2018 08:15:56","7.2","11.6","","","","14A100509"
"8/20/2018 08:16:01","7.2","11.6","","","","14A100509"
"8/20/2018 08:16:06","7.24","11.6","","","","14A100509"
"8/20/2018 08:16:11","7.22","11.6","","","","14A100509"
"8/20/2018 08:16:16","7.17","11.6","","","","14A100509"
"8/20/2018 08:16:21","7.26","11.6","","","","14A100509"
"8/20/2018 08:16:26","7.21","11.6","","","","14A100509"
"8/20/2018 08:16:31","7.19","11.6","","","","14A100509"
"8/20/2018 08:16:36","7.23","11.6","","","","14A100509"
"8/20/2018 08:16:41","7.27","11.6","","","","14A100509"
"8/20/2018 08:16:46","7.25","11.6","","","","14A100509"
"8/20/2018 08:16:51","7.2","11.6","","","","14A100509"
"8/20/2018 08:16:56","7.2","11.6","","","","14A100509"
"8/20/2018 08:17:01","7.17","11.6","","","","14A100509"
"8/20/2018 08:17:06","7.2","11.6","","","","14A100509"
"8/20/2018 08:17:11","7.18","11.6","","","","14A100509"
"8/20/2018 08:17:16","7.19","11.6","","","","14A100509"
"8/20/2018 08:17:21","7.22","11.6","","","","14A100509"
"8/20/2018 08:17:26","7.19","11.6","","","","14A100509"
"8/20/2018 08:17:31","7.17","11.6","","","","14A100509"
"8/20/2018 08:17:36","7.19","11.6","","","","14A100509"
"8/20/2018 08:17:41","7.22","11.6","","","","14A100509"
"8/20/2018 08:17:46","7.24","11.6","","","","14A100509"
"8/20/2018 08:17:51","7.17","11.6","","","","14A100509"
"8/20/2018 08:17:56","7.2","11.6","","","","14A100509"
"8/20/2018 08:18:01","7.21","11.6","","","","14A100509"
"8/20/2018 08:18:06","7.18","11.6","","","","14A100509"
"8/20/2018 08:18:11","7.19","11.6","","","","14A100509"
"8/20/2018 08:18:16","7.17","11.6","","","","14A100509"
"8/20/2018 08:18:21","7.2","11.6","","","","14A100509"
"8/20/2018 08:18:26","7.21","11.6","","","","14A100509"
"8/20/2018 08:18:31","7.23","11.6","","","","14A100509"
"8/20/2018 08:18:36","7.23","11.6","","","","14A100509"
"8/20/2018 08:18:41","7.2","11.6","","","","14A100509"
"8/20/2018 08:18:47","7.22","11.6","","","","14A100509"
"8/20/2018 08:18:52","7.21","11.6","","","","14A100509"
"8/20/2018 08:18:57","7.24","11.6","","","","14A100509"
"8/20/2018 08:19:02","7.15","11.6","","","","14A100509"
"8/20/2018 08:19:07","7.21","11.6","","","","14A100509"
"8/20/2018 08:19:12","7.2","11.6","","","","14A100509"
"8/20/2018 08:19:17","7.14","11.6","","","","14A100509"
"8/20/2018 08:19:22","7.22","11.6","","","","14A100509"
"8/20/2018 08:19:27","7.21","11.6","","","","14A100509"
"8/20/2018 08:19:32","7.21","11.6","","","","14A100509"
"8/20/2018 08:19:37","7.12","11.6","","","","14A100509"
"8/20/2018 08:19:42","7.19","11.6","","","","14A100509"
"8/20/2018 08:19:47","7.23","11.6","","","","14A100509"
"8/20/2018 08:19:52","7.21","11.6","","","","14A100509"
"8/20/2018 08:19:57","7.19","11.6","","","","14A100509"
"8/20/2018 08:20:02","7.29","11.6","","","","14A100509"
"8/20/2018 08:20:07","7.22","11.6","","","","14A100509"
"8/20/2018 08:20:12","7.16","11.6","","","","14A100509"
"8/20/2018 08:20:17","7.23","11.6","","","","14A100509"
"8/20/2018 08:20:22","7.21","11.6","","","","14A100509"
"8/20/2018 08:20:27","7.17","11.6","","","","14A100509"
"8/20/2018 08:20:32","7.19","11.6","","","","14A100509"
"8/20/2018 08:20:37","7.2","11.6","","","","14A100509"
"8/20/2018 08:20:42","7.21","11.6","","","","14A100509"
"8/20/2018 08:20:47","7.21","11.6","","","","14A100509"
"8/20/2018 08:20:52","7.21","11.6","","","","14A100509"
"8/20/2018 08:20:57","7.21","11.6","","","","14A100509"
"8/20/2018 08:21:02","7.23","11.6","","","","14A100509"
"8/20/2018 08:21:07","7.2","11.6","","","","14A100509"
"8/20/2018 08:21:13","7.2","11.6","","","","14A100509"
"8/20/2018 08:21:18","7.21","11.6","","","","14A100509"
"8/20/2018 08:21:23","7.27","11.6","","","","14A100509"
"8/20/2018 08:21:28","7.18","11.6","","","","14A100509"
"8/20/2018 08:21:33","7.18","11.6","","","","14A100509"
"8/20/2018 08:21:38","7.2","11.6","","","","14A100509"
"8/20/2018 08:21:43","7.2","11.6","","","","14A100509"
"8/20/2018 08:21:48","7.27","11.6","","","","14A100509"
"8/20/2018 08:21:53","7.25","11.6","","","","14A100509"
"8/20/2018 08:21:58","7.19","11.6","","","","14A100509"
"8/20/2018 08:22:03","7.18","11.6","","","","14A100509"
"8/20/2018 08:22:08","7.2","11.6","","","","14A100509"
"8/20/2018 08:22:13","7.17","11.6","","","","14A100509"
"8/20/2018 08:22:18","7.22","11.6","","","","14A100509"
"8/20/2018 08:22:23","7.21","11.6","","","","14A100509"
"8/20/2018 08:22:28","7.19","11.6","","","","14A100509"
"8/20/2018 08:22:33","7.18","11.6","","","","14A100509"
"8/20/2018 08:22:38","7.19","11.6","","","","14A100509"
"8/20/2018 08:22:43","7.18","11.6","","","","14A100509"
"8/20/2018 08:22:48","7.22","11.6","","","","14A100509"
"8/20/2018 08:22:53","7.2","11.6","","","","14A100509"
"8/20/2018 08:22:58","7.19","11.6","","","","14A100509"
"8/20/2018 08:23:03","7.21","11.6","","","","14A100509"
"8/20/2018 08:23:08","7.21","11.6","","","","14A100509"
"8/20/2018 08:23:13","7.21","11.6","","","","14A100509"
"8/20/2018 08:23:18","7.21","11.6","","","","14A100509"
"8/20/2018 08:23:23","7.18","11.6","","","","14A100509"
"8/20/2018 08:23:28","7.18","11.6","","","","14A100509"
"8/20/2018 08:23:33","7.16","11.6","","","","14A100509"
"8/20/2018 08:23:38","7.21","11.6","","","","14A100509"
"8/20/2018 08:23:43","7.26","11.6","","","","14A100509"
"8/20/2018 08:23:48","7.26","11.6","","","","14A100509"
"8/20/2018 08:23:53","7.17","11.6","","","","14A100509"
"8/20/2018 08:23:58","7.19","11.6","","","","14A100509"
"8/20/2018 08:24:03","7.21","11.6","","","","14A100509"
"8/20/2018 08:24:08","7.25","11.6","","","","14A100509"
"8/20/2018 08:24:13","7.2","11.6","","","","14A100509"
"8/20/2018 08:24:18","7.24","11.6","","","","14A100509"
"8/20/2018 08:24:23","7.22","11.6","","","","14A100509"
"8/20/2018 08:24:28","7.23","11.6","","","","14A100509"
"8/20/2018 08:24:34","7.12","11.6","","","","14A100509"
"8/20/2018 08:24:39","7.23","11.6","","","","14A100509"
"8/20/2018 08:24:44","7.21","11.6","","","","14A100509"
"8/20/2018 08:24:49","7.17","11.6","","","","14A100509"
"8/20/2018 08:24:54","7.23","11.6","","","","14A100509"
"8/20/2018 08:24:59","7.19","11.6","","","","14A100509"
"8/20/2018 08:25:04","7.21","11.6","","","","14A100509"
"8/20/2018 08:25:09","7.19","11.6","","","","14A100509"
"8/20/2018 08:25:14","7.18","11.6","","","","14A100509"
"8/20/2018 08:25:19","7.29","11.6","","","","14A100509"
"8/20/2018 08:25:24","7.31","11.6","","","","14A100509"
"8/20/2018 08:25:29","7.3","11.6","","","","14A100509"
"8/20/2018 08:25:34","7.24","11.6","","","","14A100509"
"8/20/2018 08:25:39","7.19","11.6","","","","14A100509"
"8/20/2018 08:25:44","7.22","11.6","","","","14A100509"
"8/20/2018 08:25:49","7.15","11.6","","","","14A100509"
"8/20/2018 08:25:54","7.21","11.6","","","","14A100509"
"8/20/2018 08:25:59","7.22","11.6","","","","14A100509"
"8/20/2018 08:26:04","7.21","11.6","","","","14A100509"
"8/20/2018 08:26:09","7.19","11.6","","","","14A100509"
"8/20/2018 08:26:14","7.19","11.6","","","","14A100509"
"8/20/2018 08:26:19","7.18","11.6","","","","14A100509"
"8/20/2018 08:26:24","7.2","11.6","","","","14A100509"
"8/20/2018 08:26:29","7.18","11.6","","","","14A100509"
"8/20/2018 08:26:34","7.19","11.6","","","","14A100509"
"8/20/2018 08:26:39","7.29","11.6","","","","14A100509"
"8/20/2018 08:26:44","7.2","11.6","","","","14A100509"
"8/20/2018 08:26:49","7.15","11.6","","","","14A100509"
"8/20/2018 08:26:54","7.23","11.6","","","","14A100509"
"8/20/2018 08:26:59","7.22","11.6","","","","14A100509"
"8/20/2018 08:27:04","7.22","11.6","","","","14A100509"
"8/20/2018 08:27:09","7.2","11.6","","","","14A100509"
"8/20/2018 08:27:14","7.26","11.6","","","","14A100509"
"8/20/2018 08:27:19","7.25","11.6","","","","14A100509"
"8/20/2018 08:27:24","7.22","11.6","","","","14A100509"
"8/20/2018 08:27:29","7.2","11.6","","","","14A100509"
"8/20/2018 08:27:35","7.24","11.6","","","","14A100509"
"8/20/2018 08:27:40","7.24","11.6","","","","14A100509"
"8/20/2018 08:27:45","7.2","11.6","","","","14A100509"
"8/20/2018 08:27:50","7.23","11.6","","","","14A100509"
"8/20/2018 08:27:55","7.22","11.6","","","","14A100509"
"8/20/2018 08:28:00","7.2","11.6","","","","14A100509"
"8/20/2018 08:28:05","7.24","11.6","","","","14A100509"
"8/20/2018 08:28:10","7.26","11.6","","","","14A100509"
"8/20/2018 08:28:15","7.21","11.6","","","","14A100509"
"8/20/2018 08:28:20","7.2","11.6","","","","14A100509"
"8/20/2018 08:28:25","7.21","11.6","","","","14A100509"
"8/20/2018 08:28:30","7.25","11.6","","","","14A100509"
"8/20/2018 08:28:35","7.23","11.6","","","","14A100509"
"8/20/2018 08:28:40","7.27","11.6","","","","14A100509"
"8/20/2018 08:28:45","7.23","11.6","","","","14A100509"
"8/20/2018 08:28:50","7.15","11.6","","","","14A100509"
"8/20/2018 08:28:55","7.22","11.6","","","","14A100509"
"8/20/2018 08:29:00","7.24","11.6","","","","14A100509"
"8/20/2018 08:29:05","7.22","11.6","","","","14A100509"
"8/20/2018 08:29:10","7.26","11.6","","","","14A100509"
